ID,rodata,mandante,visitante,vencedor,mandante_Placar,visitante_Placar
1,1.0,Guarani,Vasco,Guarani,4,2
2,1.0,Athletico-PR,Gremio,Athletico-PR,2,0
3,1.0,Flamengo,Coritiba,-,1,1
4,1.0,Goias,Paysandu,-,2,2
5,1.0,Internacional,Ponte Preta,-,1,1
6,1.0,Criciuma,Fluminense,Criciuma,2,0
7,1.0,Juventude,Sao Paulo,-,2,2
8,1.0,Fortaleza,Bahia,-,0,0
9,1.0,Cruzeiro,Sao Caetano,-,2,2
10,1.0,Vitoria,Figueirense,-,1,1
11,1.0,Santos,Parana,-,2,2
12,1.0,Corinthians,Atletico-MG,Atletico-MG,0,3
13,2.0,Fluminense,Fortaleza,-,1,1
14,2.0,Atletico-MG,Santos,-,0,0
15,2.0,Coritiba,Internacional,Internacional,0,1
16,2.0,Gremio,Guarani,Gremio,3,1
17,2.0,Bahia,Flamengo,Flamengo,1,2
18,2.0,Figueirense,Corinthians,-,3,3
19,2.0,Paysandu,Vitoria,Vitoria,1,2
20,2.0,Ponte Preta,Juventude,Ponte Preta,1,0
21,2.0,Parana,Athletico-PR,Parana,3,0
22,2.0,Sao Caetano,Criciuma,Sao Caetano,3,2
23,2.0,Sao Paulo,Cruzeiro,Cruzeiro,2,4
24,2.0,Vasco,Goias,Vasco,6,4
25,4.0,Paysandu,Santos,Paysandu,2,1
37,3.0,Internacional,Bahia,Internacional,2,0
38,3.0,Santos,Figueirense,Santos,2,0
39,3.0,Athletico-PR,Atletico-MG,Atletico-MG,1,2
40,3.0,Corinthians,Paysandu,Corinthians,6,1
41,3.0,Vitoria,Vasco,Vitoria,2,1
42,3.0,Criciuma,Sao Paulo,-,1,1
43,3.0,Fortaleza,Sao Caetano,-,1,1
44,3.0,Juventude,Coritiba,Juventude,2,1
45,3.0,Guarani,Parana,Guarani,2,0
46,3.0,Goias,Gremio,-,1,1
47,3.0,Cruzeiro,Ponte Preta,Cruzeiro,3,0
48,3.0,Flamengo,Fluminense,Flamengo,4,1
26,4.0,Bahia,Juventude,Bahia,3,1
27,4.0,Gremio,Vitoria,Gremio,2,1
28,4.0,Atletico-MG,Guarani,Atletico-MG,3,2
29,4.0,Figueirense,Athletico-PR,-,1,1
30,4.0,Ponte Preta,Criciuma,-,1,1
31,4.0,Sao Caetano,Flamengo,-,1,1
32,4.0,Vasco,Corinthians,-,2,2
33,4.0,Coritiba,Cruzeiro,Cruzeiro,3,4
34,4.0,Fluminense,Internacional,Fluminense,3,1
35,4.0,Sao Paulo,Fortaleza,Sao Paulo,3,1
36,4.0,Parana,Goias,Parana,3,1
144,12.0,Flamengo,Cruzeiro,Flamengo,3,0
49,5.0,Bahia,Atletico-MG,Atletico-MG,2,4
50,5.0,Sao Caetano,Gremio,-,1,1
51,5.0,Flamengo,Santos,Santos,0,2
52,5.0,Sao Paulo,Vasco,Sao Paulo,3,1
53,5.0,Internacional,Corinthians,Internacional,2,1
54,5.0,Criciuma,Guarani,Criciuma,1,0
55,5.0,Juventude,Vitoria,-,1,1
56,5.0,Fortaleza,Athletico-PR,Fortaleza,1,0
57,5.0,Ponte Preta,Paysandu,-,4,4
58,5.0,Cruzeiro,Goias,Cruzeiro,4,1
59,5.0,Fluminense,Parana,-,0,0
60,5.0,Coritiba,Figueirense,Coritiba,1,0
61,6.0,Atletico-MG,Coritiba,Coritiba,1,2
62,6.0,Parana,Bahia,Parana,3,1
63,6.0,Vitoria,Internacional,Internacional,0,3
64,6.0,Guarani,Cruzeiro,-,1,1
65,6.0,Corinthians,Flamengo,-,1,1
66,6.0,Goias,Juventude,Goias,7,0
67,6.0,Figueirense,Ponte Preta,-,0,0
68,6.0,Santos,Fortaleza,Santos,4,0
69,6.0,Gremio,Fluminense,Fluminense,0,1
70,6.0,Athletico-PR,Criciuma,Athletico-PR,4,2
71,6.0,Paysandu,Sao Paulo,Paysandu,5,2
72,6.0,Vasco,Sao Caetano,Vasco,1,0
73,7.0,Flamengo,Vitoria,Flamengo,2,1
74,7.0,Bahia,Gremio,Bahia,2,1
75,7.0,Cruzeiro,Athletico-PR,Cruzeiro,5,2
76,7.0,Fortaleza,Corinthians,Corinthians,1,2
77,7.0,Sao Paulo,Figueirense,Sao Paulo,3,2
78,7.0,Sao Caetano,Paysandu,Sao Caetano,2,0
79,7.0,Internacional,Goias,Internacional,2,1
80,7.0,Ponte Preta,Atletico-MG,Ponte Preta,2,1
81,7.0,Juventude,Guarani,-,1,1
82,7.0,Coritiba,Parana,Coritiba,2,1
83,7.0,Criciuma,Santos,Santos,1,3
84,7.0,Fluminense,Vasco,-,0,0
85,8.0,Goias,Flamengo,-,1,1
86,8.0,Santos,Cruzeiro,Cruzeiro,0,2
87,8.0,Parana,Ponte Preta,Parana,3,2
88,8.0,Corinthians,Criciuma,Corinthians,3,0
89,8.0,Vasco,Bahia,-,1,1
90,8.0,Paysandu,Fluminense,-,2,2
91,8.0,Atletico-MG,Sao Paulo,-,2,2
92,8.0,Vitoria,Fortaleza,Vitoria,2,1
93,8.0,Guarani,Internacional,Guarani,3,0
94,8.0,Athletico-PR,Juventude,Athletico-PR,2,0
95,8.0,Figueirense,Sao Caetano,Figueirense,3,0
96,8.0,Gremio,Coritiba,Gremio,1,0
97,9.0,Fluminense,Figueirense,Fluminense,3,0
98,9.0,Sao Caetano,Atletico-MG,Sao Caetano,2,0
99,9.0,Juventude,Santos,-,1,1
100,9.0,Bahia,Paysandu,Bahia,2,0
101,9.0,Internacional,Athletico-PR,-,1,1
102,9.0,Coritiba,Vasco,-,1,1
103,9.0,Cruzeiro,Corinthians,-,1,1
104,9.0,Fortaleza,Goias,Fortaleza,1,0
105,9.0,Ponte Preta,Gremio,Ponte Preta,2,1
106,9.0,Criciuma,Vitoria,-,1,1
107,9.0,Flamengo,Guarani,-,1,1
108,9.0,Sao Paulo,Parana,Sao Paulo,2,0
109,10.0,Atletico-MG,Fluminense,Atletico-MG,3,0
110,10.0,Parana,Sao Caetano,-,1,1
111,10.0,Corinthians,Juventude,Corinthians,3,0
112,10.0,Vasco,Ponte Preta,Vasco,1,0
113,10.0,Athletico-PR,Flamengo,Athletico-PR,4,1
114,10.0,Paysandu,Coritiba,Coritiba,1,3
115,10.0,Goias,Criciuma,Criciuma,0,2
116,10.0,Gremio,Sao Paulo,Sao Paulo,1,2
117,10.0,Guarani,Fortaleza,Guarani,2,1
118,10.0,Figueirense,Bahia,Figueirense,1,0
119,10.0,Vitoria,Cruzeiro,Vitoria,2,1
120,10.0,Santos,Internacional,Santos,2,1
121,11.0,Fluminense,Athletico-PR,Fluminense,2,1
122,11.0,Cruzeiro,Criciuma,Cruzeiro,2,0
123,11.0,Coritiba,Guarani,Coritiba,3,2
124,11.0,Ponte Preta,Sao Caetano,-,0,0
125,11.0,Internacional,Paysandu,Internacional,2,1
126,11.0,Parana,Flamengo,Parana,6,2
127,11.0,Bahia,Goias,Bahia,2,1
128,11.0,Fortaleza,Juventude,Fortaleza,3,1
129,11.0,Figueirense,Gremio,Figueirense,2,1
130,11.0,Santos,Sao Paulo,Santos,3,2
131,11.0,Corinthians,Vitoria,Corinthians,4,0
132,11.0,Vasco,Atletico-MG,-,2,2
133,12.0,Vitoria,Fluminense,Vitoria,2,1
134,12.0,Guarani,Santos,Santos,1,2
135,12.0,Gremio,Fortaleza,Gremio,3,1
136,12.0,Atletico-MG,Figueirense,-,1,1
137,12.0,Paysandu,Parana,Paysandu,3,0
138,12.0,Juventude,Vasco,-,0,0
139,12.0,Athletico-PR,Ponte Preta,Athletico-PR,4,2
140,12.0,Goias,Coritiba,Coritiba,1,2
141,12.0,Sao Caetano,Corinthians,Sao Caetano,1,0
142,12.0,Criciuma,Internacional,Criciuma,1,0
143,12.0,Sao Paulo,Bahia,-,2,2
145,13.0,Fluminense,Goias,Goias,2,3
146,13.0,Ponte Preta,Guarani,Guarani,0,2
147,13.0,Coritiba,Athletico-PR,Coritiba,2,0
148,13.0,Corinthians,Sao Paulo,Sao Paulo,1,2
149,13.0,Fortaleza,Paysandu,Paysandu,1,2
150,13.0,Parana,Juventude,Juventude,1,2
151,13.0,Gremio,Internacional,-,0,0
152,13.0,Santos,Sao Caetano,Sao Caetano,0,1
153,13.0,Criciuma,Figueirense,Criciuma,1,0
154,13.0,Bahia,Vitoria,Bahia,2,1
155,13.0,Vasco,Flamengo,Flamengo,1,2
156,13.0,Cruzeiro,Atletico-MG,-,0,0
157,14.0,Bahia,Coritiba,-,2,2
158,14.0,Vasco,Criciuma,Vasco,2,0
159,14.0,Atletico-MG,Gremio,Atletico-MG,3,2
160,14.0,Internacional,Parana,Internacional,2,1
161,14.0,Sao Paulo,Goias,Sao Paulo,1,0
162,14.0,Paysandu,Flamengo,-,2,2
163,14.0,Ponte Preta,Corinthians,-,3,3
164,14.0,Sao Caetano,Vitoria,Sao Caetano,2,1
165,14.0,Figueirense,Fortaleza,-,2,2
166,14.0,Juventude,Cruzeiro,Cruzeiro,0,1
167,14.0,Fluminense,Guarani,Fluminense,5,2
168,15.0,Fortaleza,Vasco,Vasco,0,1
169,15.0,Coritiba,Sao Caetano,Coritiba,2,0
170,15.0,Gremio,Juventude,Juventude,1,4
171,15.0,Santos,Bahia,Santos,4,0
172,15.0,Flamengo,Figueirense,Figueirense,0,2
173,15.0,Corinthians,Fluminense,Corinthians,1,0
174,15.0,Guarani,Sao Paulo,Sao Paulo,0,1
175,15.0,Criciuma,Paysandu,Criciuma,2,0
176,15.0,Vitoria,Athletico-PR,Vitoria,1,0
177,15.0,Cruzeiro,Internacional,Cruzeiro,3,2
178,15.0,Parana,Atletico-MG,-,1,1
181,16.0,Vasco,Parana,Parana,1,4
182,16.0,Sao Paulo,Sao Caetano,-,1,1
183,16.0,Figueirense,Cruzeiro,Figueirense,1,0
184,16.0,Atletico-MG,Paysandu,Atletico-MG,3,2
185,16.0,Gremio,Flamengo,Gremio,2,0
186,16.0,Guarani,Goias,Guarani,3,2
187,16.0,Athletico-PR,Corinthians,Athletico-PR,3,1
188,16.0,Juventude,Internacional,-,1,1
189,16.0,Fortaleza,Criciuma,Criciuma,0,1
190,16.0,Vitoria,Ponte Preta,Ponte Preta,1,4
191,16.0,Santos,Coritiba,Santos,3,1
192,16.0,Fluminense,Bahia,Fluminense,1,0
193,17.0,Sao Caetano,Athletico-PR,-,0,0
194,17.0,Corinthians,Santos,-,1,1
195,17.0,Cruzeiro,Fortaleza,Cruzeiro,2,0
196,17.0,Bahia,Guarani,Bahia,2,0
197,17.0,Paysandu,Figueirense,Paysandu,1,0
198,17.0,Goias,Vitoria,-,1,1
199,17.0,Flamengo,Juventude,Flamengo,2,1
200,17.0,Internacional,Vasco,Internacional,2,1
201,17.0,Coritiba,Sao Paulo,Sao Paulo,0,2
202,17.0,Ponte Preta,Fluminense,Ponte Preta,3,0
203,17.0,Criciuma,Atletico-MG,Criciuma,1,0
204,17.0,Parana,Gremio,Parana,3,1
205,18.0,Athletico-PR,Goias,-,0,0
206,18.0,Fortaleza,Internacional,Fortaleza,3,0
207,18.0,Vasco,Paysandu,Paysandu,0,2
208,18.0,Atletico-MG,Flamengo,Atletico-MG,1,0
209,18.0,Ponte Preta,Bahia,Ponte Preta,1,0
210,18.0,Corinthians,Coritiba,Coritiba,0,1
211,18.0,Criciuma,Juventude,Criciuma,3,0
212,18.0,Figueirense,Parana,Figueirense,4,2
213,18.0,Sao Caetano,Guarani,Guarani,0,2
214,18.0,Fluminense,Sao Paulo,Sao Paulo,1,3
215,18.0,Gremio,Cruzeiro,Cruzeiro,0,1
216,18.0,Vitoria,Santos,Vitoria,2,0
217,19.0,Flamengo,Fortaleza,Fortaleza,0,2
218,19.0,Juventude,Figueirense,Figueirense,1,2
219,19.0,Bahia,Sao Caetano,-,0,0
220,19.0,Coritiba,Fluminense,Coritiba,3,0
221,19.0,Guarani,Vitoria,-,2,2
222,19.0,Internacional,Atletico-MG,-,3,3
223,19.0,Santos,Ponte Preta,Santos,2,1
224,19.0,Cruzeiro,Vasco,Cruzeiro,4,1
225,19.0,Goias,Corinthians,-,1,1
226,19.0,Paysandu,Gremio,-,1,1
227,19.0,Sao Paulo,Athletico-PR,Sao Paulo,2,0
229,20.0,Fluminense,Santos,Santos,1,4
230,20.0,Corinthians,Guarani,Corinthians,1,0
231,20.0,Fortaleza,Atletico-MG,Fortaleza,4,3
232,20.0,Internacional,Figueirense,Internacional,3,0
233,20.0,Juventude,Paysandu,Juventude,2,0
234,20.0,Athletico-PR,Bahia,Athletico-PR,2,1
235,20.0,Ponte Preta,Coritiba,-,1,1
236,20.0,Criciuma,Flamengo,Criciuma,4,3
237,20.0,Goias,Sao Caetano,Goias,2,1
238,20.0,Vitoria,Sao Paulo,Sao Paulo,0,2
239,20.0,Cruzeiro,Parana,Cruzeiro,5,1
240,20.0,Vasco,Gremio,Vasco,2,0
241,21.0,Parana,Fortaleza,Parana,4,1
242,21.0,Atletico-MG,Juventude,Atletico-MG,2,1
243,21.0,Paysandu,Cruzeiro,Paysandu,3,0
244,21.0,Guarani,Athletico-PR,Guarani,1,0
245,21.0,Figueirense,Vasco,-,0,0
246,21.0,Santos,Goias,-,3,3
247,21.0,Bahia,Corinthians,-,0,0
248,21.0,Coritiba,Vitoria,-,1,1
249,21.0,Gremio,Criciuma,Criciuma,0,2
250,21.0,Flamengo,Internacional,Flamengo,2,1
251,21.0,Sao Caetano,Fluminense,Sao Caetano,2,0
252,21.0,Sao Paulo,Ponte Preta,Ponte Preta,1,2
253,22.0,Santos,Vasco,Santos,2,1
254,22.0,Goias,Atletico-MG,-,1,1
255,22.0,Athletico-PR,Paysandu,-,1,1
256,22.0,Fortaleza,Ponte Preta,Ponte Preta,2,3
257,22.0,Juventude,Fluminense,Juventude,2,1
258,22.0,Flamengo,Sao Paulo,-,1,1
259,22.0,Criciuma,Coritiba,Coritiba,2,3
260,22.0,Guarani,Figueirense,Guarani,3,0
261,22.0,Vitoria,Parana,Parana,0,3
262,22.0,Corinthians,Gremio,Corinthians,1,0
263,22.0,Cruzeiro,Bahia,Cruzeiro,5,2
264,22.0,Internacional,Sao Caetano,-,0,0
179,15.0,Athletico-PR,Santos,Santos,0,2
180,15.0,Goias,Ponte Preta,-,0,0
228,19.0,Parana,Criciuma,Parana,2,1
265,23.0,Fluminense,Cruzeiro,-,2,2
266,23.0,Gremio,Santos,Gremio,2,0
267,23.0,Sao Paulo,Internacional,Internacional,0,2
268,23.0,Sao Caetano,Juventude,-,1,1
269,23.0,Figueirense,Goias,Goias,0,1
270,23.0,Parana,Corinthians,-,1,1
271,23.0,Paysandu,Guarani,Paysandu,6,1
272,23.0,Coritiba,Fortaleza,-,1,1
273,23.0,Bahia,Criciuma,-,2,2
274,23.0,Ponte Preta,Flamengo,-,1,1
275,23.0,Vasco,Athletico-PR,Vasco,2,1
276,23.0,Atletico-MG,Vitoria,Atletico-MG,1,0
277,24.0,Vitoria,Paysandu,-,1,1
278,24.0,Athletico-PR,Parana,Athletico-PR,1,0
279,24.0,Criciuma,Sao Caetano,Sao Caetano,0,1
280,24.0,Fortaleza,Fluminense,Fortaleza,3,1
281,24.0,Juventude,Ponte Preta,-,0,0
282,24.0,Santos,Atletico-MG,-,3,3
283,24.0,Goias,Vasco,Goias,3,1
284,24.0,Cruzeiro,Sao Paulo,-,1,1
288,24.0,Internacional,Coritiba,Internacional,1,0
285,24.0,Flamengo,Bahia,Flamengo,6,0
286,24.0,Corinthians,Figueirense,Figueirense,0,1
287,24.0,Guarani,Gremio,Guarani,2,0
289,25.0,Fluminense,Criciuma,-,1,1
290,25.0,Sao Caetano,Cruzeiro,Sao Caetano,2,0
291,25.0,Parana,Santos,Santos,1,2
292,25.0,Sao Paulo,Juventude,Sao Paulo,3,1
293,25.0,Paysandu,Goias,-,2,2
294,25.0,Ponte Preta,Internacional,Internacional,1,4
295,25.0,Coritiba,Flamengo,Coritiba,5,0
296,25.0,Atletico-MG,Corinthians,Corinthians,2,3
297,25.0,Figueirense,Vitoria,Vitoria,1,2
298,25.0,Bahia,Fortaleza,Bahia,1,0
299,25.0,Vasco,Guarani,-,0,0
300,25.0,Gremio,Athletico-PR,-,1,1
301,26.0,Vasco,Vitoria,Vasco,1,0
302,26.0,Bahia,Internacional,Internacional,1,3
303,26.0,Figueirense,Santos,Figueirense,1,0
304,26.0,Coritiba,Juventude,Coritiba,1,0
305,26.0,Atletico-MG,Athletico-PR,Athletico-PR,1,2
306,26.0,Sao Paulo,Criciuma,-,0,0
307,26.0,Paysandu,Corinthians,-,2,2
308,26.0,Sao Caetano,Fortaleza,Sao Caetano,3,0
309,26.0,Ponte Preta,Cruzeiro,Cruzeiro,1,3
310,26.0,Parana,Guarani,-,0,0
311,26.0,Gremio,Goias,Goias,0,1
312,26.0,Fluminense,Flamengo,Flamengo,0,1
313,27.0,Flamengo,Sao Caetano,Flamengo,1,0
314,27.0,Goias,Parana,Goias,1,0
315,27.0,Juventude,Bahia,Juventude,1,0
316,27.0,Cruzeiro,Coritiba,-,2,2
317,27.0,Athletico-PR,Figueirense,Figueirense,1,2
318,27.0,Vitoria,Gremio,Vitoria,4,1
319,27.0,Santos,Paysandu,Santos,2,0
320,27.0,Fortaleza,Sao Paulo,Sao Paulo,0,2
321,27.0,Corinthians,Vasco,-,0,0
322,27.0,Internacional,Fluminense,Fluminense,0,1
323,27.0,Guarani,Atletico-MG,-,2,2
324,27.0,Criciuma,Ponte Preta,Criciuma,3,0
325,28.0,Santos,Flamengo,Santos,2,1
326,28.0,Athletico-PR,Fortaleza,Athletico-PR,3,1
327,28.0,Goias,Cruzeiro,Goias,1,0
328,28.0,Gremio,Sao Caetano,-,0,0
329,28.0,Vasco,Sao Paulo,Vasco,3,2
330,28.0,Paysandu,Ponte Preta,Paysandu,3,2
331,28.0,Parana,Fluminense,Parana,2,0
332,28.0,Vitoria,Juventude,Vitoria,3,0
333,28.0,Guarani,Criciuma,Guarani,1,0
334,28.0,Figueirense,Coritiba,Coritiba,1,2
335,28.0,Corinthians,Internacional,Corinthians,3,1
336,28.0,Atletico-MG,Bahia,Atletico-MG,1,0
337,29.0,Fluminense,Gremio,Fluminense,2,0
338,29.0,Fortaleza,Santos,-,0,0
339,29.0,Internacional,Vitoria,Vitoria,0,1
340,29.0,Cruzeiro,Guarani,Cruzeiro,4,1
341,29.0,Sao Paulo,Paysandu,Sao Paulo,1,0
342,29.0,Sao Caetano,Vasco,Sao Caetano,1,0
343,29.0,Juventude,Goias,Goias,0,2
344,29.0,Flamengo,Corinthians,Flamengo,1,0
345,29.0,Bahia,Parana,Bahia,4,2
346,29.0,Ponte Preta,Figueirense,-,1,1
347,29.0,Criciuma,Athletico-PR,Criciuma,2,0
348,29.0,Coritiba,Atletico-MG,-,2,2
349,30.0,Santos,Criciuma,Santos,5,2
350,30.0,Athletico-PR,Cruzeiro,Cruzeiro,1,4
351,30.0,Gremio,Bahia,-,1,1
352,30.0,Corinthians,Fortaleza,Corinthians,2,0
353,30.0,Vitoria,Flamengo,Vitoria,1,0
354,30.0,Figueirense,Sao Paulo,-,2,2
355,30.0,Goias,Internacional,Goias,3,1
356,30.0,Paysandu,Sao Caetano,Paysandu,1,0
357,30.0,Guarani,Juventude,Guarani,2,0
358,30.0,Parana,Coritiba,Coritiba,2,3
359,30.0,Vasco,Fluminense,Vasco,1,0
360,30.0,Atletico-MG,Ponte Preta,Atletico-MG,2,0
361,31.0,Cruzeiro,Santos,Cruzeiro,3,0
362,31.0,Coritiba,Gremio,Coritiba,1,0
363,31.0,Ponte Preta,Parana,Ponte Preta,4,0
364,31.0,Fluminense,Paysandu,-,1,1
365,31.0,Internacional,Guarani,Internacional,2,0
366,31.0,Bahia,Vasco,Bahia,3,0
367,31.0,Criciuma,Corinthians,Criciuma,1,0
368,31.0,Fortaleza,Vitoria,Fortaleza,1,0
369,31.0,Juventude,Athletico-PR,Juventude,4,0
370,31.0,Sao Caetano,Figueirense,Figueirense,0,2
371,31.0,Sao Paulo,Atletico-MG,-,2,2
372,31.0,Flamengo,Goias,-,1,1
373,32.0,Athletico-PR,Internacional,Athletico-PR,2,1
374,32.0,Gremio,Ponte Preta,-,2,2
375,32.0,Goias,Fortaleza,Fortaleza,0,1
376,32.0,Paysandu,Bahia,Paysandu,4,0
377,32.0,Vitoria,Criciuma,-,1,1
378,32.0,Guarani,Flamengo,Guarani,5,3
379,32.0,Parana,Sao Paulo,Parana,4,2
380,32.0,Santos,Juventude,-,1,1
381,32.0,Corinthians,Cruzeiro,Cruzeiro,0,1
382,32.0,Figueirense,Fluminense,-,2,2
383,32.0,Vasco,Coritiba,Vasco,2,1
384,32.0,Atletico-MG,Sao Caetano,Atletico-MG,3,1
385,33.0,Internacional,Santos,Internacional,1,0
386,33.0,Sao Paulo,Gremio,Sao Paulo,3,1
387,33.0,Flamengo,Athletico-PR,Flamengo,2,1
388,33.0,Cruzeiro,Vitoria,Cruzeiro,1,0
389,33.0,Bahia,Figueirense,-,1,1
390,33.0,Criciuma,Goias,Criciuma,1,0
391,33.0,Fortaleza,Guarani,Fortaleza,3,0
392,33.0,Juventude,Corinthians,Juventude,6,1
393,33.0,Ponte Preta,Vasco,-,2,2
394,33.0,Sao Caetano,Parana,Sao Caetano,2,0
395,33.0,Fluminense,Atletico-MG,Atletico-MG,0,1
396,33.0,Coritiba,Paysandu,Coritiba,1,0
397,34.0,Athletico-PR,Fluminense,-,0,0
398,34.0,Paysandu,Internacional,-,0,0
399,34.0,Sao Caetano,Ponte Preta,Sao Caetano,1,0
400,34.0,Gremio,Figueirense,Gremio,3,1
401,34.0,Sao Paulo,Santos,Santos,1,2
402,34.0,Vitoria,Corinthians,Corinthians,1,2
403,34.0,Goias,Bahia,Goias,3,1
404,34.0,Atletico-MG,Vasco,Atletico-MG,2,1
405,34.0,Juventude,Fortaleza,-,2,2
406,34.0,Guarani,Coritiba,Guarani,2,1
407,34.0,Flamengo,Parana,Parana,0,3
408,34.0,Criciuma,Cruzeiro,Cruzeiro,1,3
409,35.0,Vasco,Juventude,-,1,1
410,35.0,Fortaleza,Gremio,-,2,2
411,35.0,Corinthians,Sao Caetano,Sao Caetano,0,3
412,35.0,Coritiba,Goias,Coritiba,1,0
413,35.0,Ponte Preta,Athletico-PR,-,2,2
414,35.0,Santos,Guarani,-,1,1
415,35.0,Bahia,Sao Paulo,Bahia,3,0
416,35.0,Cruzeiro,Flamengo,Cruzeiro,2,0
417,35.0,Parana,Paysandu,Parana,4,2
418,35.0,Internacional,Criciuma,Internacional,2,0
419,35.0,Fluminense,Vitoria,Fluminense,2,0
420,35.0,Figueirense,Atletico-MG,Atletico-MG,0,1
421,36.0,Athletico-PR,Coritiba,Athletico-PR,2,0
422,36.0,Guarani,Ponte Preta,Ponte Preta,1,3
423,36.0,Sao Caetano,Santos,-,2,2
424,36.0,Atletico-MG,Cruzeiro,Cruzeiro,0,1
425,36.0,Figueirense,Criciuma,Figueirense,4,2
426,36.0,Sao Paulo,Corinthians,Sao Paulo,3,0
427,36.0,Vitoria,Bahia,Vitoria,2,1
428,36.0,Goias,Fluminense,Goias,6,1
429,36.0,Juventude,Parana,-,1,1
430,36.0,Flamengo,Vasco,Flamengo,2,1
431,36.0,Internacional,Gremio,Gremio,0,1
432,36.0,Paysandu,Fortaleza,Paysandu,3,0
433,37.0,Goias,Sao Paulo,Goias,3,1
434,37.0,Guarani,Fluminense,Guarani,2,0
435,37.0,Flamengo,Paysandu,Flamengo,2,0
436,37.0,Gremio,Atletico-MG,-,2,2
437,37.0,Coritiba,Bahia,Coritiba,3,2
438,37.0,Parana,Internacional,Parana,4,0
439,37.0,Santos,Athletico-PR,Santos,3,2
440,37.0,Criciuma,Vasco,Criciuma,2,1
441,37.0,Fortaleza,Figueirense,-,1,1
442,37.0,Vitoria,Sao Caetano,-,0,0
443,37.0,Corinthians,Ponte Preta,Corinthians,3,0
444,37.0,Cruzeiro,Juventude,Juventude,1,2
445,38.0,Ponte Preta,Goias,Goias,0,2
446,38.0,Sao Caetano,Coritiba,Sao Caetano,2,0
447,38.0,Athletico-PR,Vitoria,Vitoria,1,2
448,38.0,Figueirense,Flamengo,-,0,0
449,38.0,Fluminense,Corinthians,Fluminense,1,0
450,38.0,Internacional,Cruzeiro,Internacional,1,0
451,38.0,Bahia,Santos,Santos,4,7
453,38.0,Sao Paulo,Guarani,-,3,3
454,38.0,Atletico-MG,Parana,-,2,2
455,38.0,Juventude,Gremio,Gremio,1,2
456,38.0,Vasco,Fortaleza,-,1,1
452,38.0,Paysandu,Criciuma,Paysandu,4,0
457,39.0,Coritiba,Santos,Santos,0,4
458,39.0,Bahia,Fluminense,-,2,2
459,39.0,Ponte Preta,Vitoria,-,1,1
460,39.0,Cruzeiro,Figueirense,Cruzeiro,1,0
461,39.0,Sao Caetano,Sao Paulo,Sao Paulo,0,1
462,39.0,Parana,Vasco,-,3,3
463,39.0,Goias,Guarani,Goias,3,0
464,39.0,Criciuma,Fortaleza,-,2,2
465,39.0,Corinthians,Athletico-PR,Athletico-PR,2,3
466,39.0,Paysandu,Atletico-MG,Paysandu,1,0
467,39.0,Flamengo,Gremio,Flamengo,2,1
468,39.0,Internacional,Juventude,-,0,0
469,40.0,Guarani,Bahia,Guarani,3,2
470,40.0,Athletico-PR,Sao Caetano,Athletico-PR,1,0
471,40.0,Gremio,Parana,Parana,0,2
472,40.0,Fluminense,Ponte Preta,-,2,2
473,40.0,Atletico-MG,Criciuma,-,1,1
474,40.0,Santos,Corinthians,Santos,3,1
475,40.0,Juventude,Flamengo,-,2,2
476,40.0,Fortaleza,Cruzeiro,Cruzeiro,1,2
477,40.0,Figueirense,Paysandu,Figueirense,6,0
478,40.0,Vitoria,Goias,Goias,3,4
479,40.0,Vasco,Internacional,Internacional,0,1
480,40.0,Sao Paulo,Coritiba,Sao Paulo,1,0
481,41.0,Parana,Figueirense,-,1,1
482,41.0,Internacional,Fortaleza,-,1,1
483,41.0,Juventude,Criciuma,Juventude,3,1
484,41.0,Paysandu,Vasco,Vasco,1,2
485,41.0,Sao Paulo,Fluminense,Sao Paulo,1,0
486,41.0,Coritiba,Corinthians,Coritiba,1,0
487,41.0,Santos,Vitoria,Santos,3,1
488,41.0,Cruzeiro,Gremio,Cruzeiro,3,0
490,41.0,Goias,Athletico-PR,Goias,4,1
492,41.0,Guarani,Sao Caetano,Sao Caetano,0,1
489,41.0,Bahia,Ponte Preta,Bahia,1,0
491,41.0,Flamengo,Atletico-MG,Flamengo,3,2
493,42.0,Fluminense,Coritiba,Fluminense,3,2
494,42.0,Gremio,Paysandu,Gremio,2,0
495,42.0,Criciuma,Parana,Parana,1,2
496,42.0,Ponte Preta,Santos,Santos,3,4
497,42.0,Vasco,Cruzeiro,Cruzeiro,0,1
498,42.0,Fortaleza,Flamengo,Fortaleza,4,1
499,42.0,Athletico-PR,Sao Paulo,Athletico-PR,4,3
500,42.0,Sao Caetano,Bahia,Sao Caetano,4,1
501,42.0,Figueirense,Juventude,Figueirense,2,1
502,42.0,Vitoria,Guarani,-,0,0
503,42.0,Corinthians,Goias,Corinthians,2,0
504,42.0,Atletico-MG,Internacional,Internacional,1,2
505,43.0,Figueirense,Internacional,Figueirense,3,2
506,43.0,Atletico-MG,Fortaleza,Atletico-MG,2,0
507,43.0,Coritiba,Ponte Preta,-,1,1
508,43.0,Gremio,Vasco,Gremio,4,3
509,43.0,Flamengo,Criciuma,Flamengo,1,0
510,43.0,Santos,Fluminense,Santos,3,1
511,43.0,Parana,Cruzeiro,Cruzeiro,1,3
512,43.0,Sao Caetano,Goias,Sao Caetano,1,0
513,43.0,Bahia,Athletico-PR,Athletico-PR,0,2
514,43.0,Sao Paulo,Vitoria,Sao Paulo,3,1
515,43.0,Guarani,Corinthians,Corinthians,0,1
