ID,rodata,mandante,visitante,vencedor,mandante_Placar,visitante_Placar
7461,20.0,Fortaleza,Atletico-MG,Atletico-MG,0,2
7463,20.0,Atletico-GO,Corinthians,-,1,1
7464,20.0,Fluminense,Sao Paulo,Fluminense,2,1
7465,20.0,Sport,Internacional,Internacional,0,1
7466,21.0,Chapecoense,Palmeiras,Palmeiras,0,2
7467,21.0,Athletico-PR,Juventude,Athletico-PR,2,1
7468,21.0,Atletico-MG,Sport,Atletico-MG,3,0
7470,21.0,Ceara,Santos,-,0,0
7469,21.0,Bahia,Bragantino,-,1,1
7471,21.0,Internacional,Fortaleza,Internacional,1,0
7472,21.0,Sao Paulo,Atletico-GO,Sao Paulo,2,1
7473,21.0,Corinthians,America-MG,-,1,1
7474,21.0,Flamengo,Gremio,Gremio,0,1
7475,21.0,Cuiaba,Fluminense,-,2,2
7451,19.0,Sao Paulo,America-MG,-,0,0
7476,22.0,Ceara,Chapecoense,Ceara,1,0
7477,22.0,Corinthians,Palmeiras,Corinthians,2,1
7478,22.0,Sao Paulo,Atletico-MG,-,0,0
7479,22.0,America-MG,Flamengo,-,1,1
7480,22.0,Internacional,Bahia,Internacional,2,0
7481,22.0,Fluminense,Bragantino,Fluminense,2,1
7482,22.0,Juventude,Santos,Juventude,3,0
7484,22.0,Athletico-PR,Gremio,Athletico-PR,4,2
7483,22.0,Sport,Fortaleza,Fortaleza,0,1
7485,22.0,Atletico-GO,Cuiaba,-,0,0
7486,23.0,Cuiaba,America-MG,America-MG,0,2
7487,23.0,Fortaleza,Atletico-GO,Atletico-GO,0,3
7488,23.0,Bragantino,Corinthians,-,2,2
7489,23.0,Atletico-MG,Internacional,Atletico-MG,1,0
7490,23.0,Flamengo,Athletico-PR,Flamengo,3,0
7491,23.0,Chapecoense,Sao Paulo,-,1,1
7492,23.0,Palmeiras,Juventude,-,1,1
7493,23.0,Gremio,Sport,Sport,1,2
7496,24.0,Corinthians,Bahia,Corinthians,3,1
7497,24.0,Chapecoense,Atletico-MG,-,2,2
7498,24.0,Atletico-GO,Athletico-PR,Athletico-PR,0,2
7499,24.0,Sport,Juventude,Sport,3,1
7500,24.0,Ceara,Internacional,-,0,0
7501,24.0,Bragantino,Flamengo,-,1,1
7504,24.0,Gremio,Cuiaba,-,2,2
7502,24.0,Fluminense,Fortaleza,Fortaleza,0,2
7503,24.0,America-MG,Palmeiras,America-MG,2,1
7505,24.0,Sao Paulo,Santos,-,1,1
7506,25.0,Fluminense,Atletico-GO,-,0,0
7507,25.0,Atletico-MG,Ceara,Atletico-MG,3,1
7508,25.0,Sport,Corinthians,Sport,1,0
7509,25.0,Fortaleza,Flamengo,Flamengo,0,3
7510,25.0,Athletico-PR,Bahia,Bahia,0,2
7511,25.0,Palmeiras,Bragantino,Bragantino,2,4
7512,25.0,Juventude,America-MG,-,1,1
7513,25.0,Internacional,Chapecoense,Internacional,5,2
7514,25.0,Santos,Gremio,Santos,1,0
7515,25.0,Cuiaba,Sao Paulo,-,0,0
7516,26.0,Bragantino,Atletico-GO,Bragantino,1,0
7517,26.0,Bahia,Palmeiras,-,0,0
7518,26.0,Atletico-MG,Santos,Atletico-MG,3,1
7519,26.0,Chapecoense,Athletico-PR,-,1,1
7520,26.0,Flamengo,Juventude,Flamengo,3,1
7521,26.0,Fortaleza,Gremio,Fortaleza,1,0
7522,26.0,Corinthians,Fluminense,Corinthians,1,0
7523,26.0,Internacional,America-MG,Internacional,3,1
7525,26.0,Cuiaba,Sport,Cuiaba,1,0
7524,26.0,Sao Paulo,Ceara,-,1,1
7526,27.0,Chapecoense,Fortaleza,Fortaleza,1,2
7527,27.0,America-MG,Bahia,-,0,0
7528,27.0,Athletico-PR,Fluminense,Fluminense,0,1
7529,27.0,Palmeiras,Internacional,Palmeiras,1,0
7530,27.0,Ceara,Bragantino,-,2,2
7531,27.0,Gremio,Juventude,Gremio,3,2
7532,27.0,Atletico-GO,Atletico-MG,Atletico-GO,2,1
7533,27.0,Sport,Santos,-,0,0
7534,27.0,Flamengo,Cuiaba,-,0,0
7535,27.0,Sao Paulo,Corinthians,Sao Paulo,1,0
7452,19.0,Ceara,Palmeiras,Palmeiras,1,2
7453,19.0,Internacional,Bragantino,-,1,1
7536,28.0,Santos,America-MG,America-MG,0,2
7537,28.0,Juventude,Ceara,-,0,0
7538,28.0,Fluminense,Flamengo,Fluminense,3,1
7539,28.0,Fortaleza,Athletico-PR,Fortaleza,3,0
7540,28.0,Internacional,Corinthians,-,2,2
7541,28.0,Atletico-MG,Cuiaba,Atletico-MG,2,1
7542,28.0,Bragantino,Sao Paulo,Bragantino,1,0
7543,28.0,Bahia,Chapecoense,Bahia,3,0
7544,28.0,Atletico-GO,Gremio,Atletico-GO,2,0
7545,28.0,Palmeiras,Sport,Palmeiras,2,1
7494,23.0,Santos,Fluminense,Santos,2,0
7495,23.0,Bahia,Ceara,-,1,1
7546,34.0,Bragantino,Sport,Bragantino,3,0
7556,29.0,Athletico-PR,Santos,Santos,0,1
7557,29.0,Flamengo,Atletico-MG,Flamengo,1,0
7558,29.0,Juventude,Bahia,-,0,0
7559,29.0,America-MG,Fortaleza,America-MG,2,1
7560,29.0,Gremio,Palmeiras,Palmeiras,1,3
7561,29.0,Ceara,Fluminense,Ceara,1,0
7562,29.0,Sao Paulo,Internacional,Sao Paulo,1,0
7563,29.0,Sport,Atletico-GO,Sport,2,0
7564,29.0,Cuiaba,Bragantino,Cuiaba,1,0
7565,29.0,Corinthians,Chapecoense,Corinthians,1,0
7305,4.0,Athletico-PR,Flamengo,-,2,2
7454,19.0,Atletico-MG,Gremio,Atletico-MG,2,1
7566,31.0,Cuiaba,Chapecoense,-,0,0
7455,19.0,Flamengo,Atletico-GO,Flamengo,2,0
7576,30.0,Corinthians,Fortaleza,Corinthians,1,0
7577,30.0,Internacional,Gremio,Internacional,1,0
7578,30.0,Fluminense,Sport,Fluminense,1,0
7581,30.0,Santos,Palmeiras,Palmeiras,0,2
7579,30.0,Bragantino,Athletico-PR,Athletico-PR,0,2
7580,30.0,Atletico-MG,America-MG,Atletico-MG,1,0
7582,30.0,Bahia,Sao Paulo,Bahia,1,0
7583,30.0,Ceara,Cuiaba,Ceara,1,0
7584,30.0,Chapecoense,Flamengo,-,2,2
7567,31.0,Gremio,Fluminense,Gremio,1,0
7568,31.0,Athletico-PR,Ceara,Athletico-PR,2,1
7570,31.0,Santos,Bragantino,Santos,2,0
7569,31.0,Atletico-MG,Corinthians,Atletico-MG,3,0
7571,31.0,Palmeiras,Atletico-GO,Palmeiras,4,0
7574,31.0,Juventude,Internacional,Juventude,2,1
7572,31.0,Fortaleza,Sao Paulo,-,1,1
7573,31.0,Sport,America-MG,America-MG,2,3
7575,31.0,Flamengo,Bahia,Flamengo,3,0
7587,32.0,America-MG,Gremio,America-MG,3,1
7586,32.0,Atletico-GO,Santos,-,0,0
7588,32.0,Bragantino,Fortaleza,Bragantino,3,0
